,movie_id,genre_id
284,102,2
285,102,0
286,102,14
287,103,0
288,103,1
289,103,3
290,104,1
291,104,7
292,104,15
293,105,1
294,105,8
295,106,3
296,106,7
297,106,11
298,107,7
299,107,8
300,107,15
301,108,2
302,108,3
303,108,8
304,108,1
305,109,1
306,109,8
307,109,7
308,110,0
309,110,16
310,110,6
311,111,8
312,111,1
313,111,0
314,112,2
315,112,0
316,112,1
317,112,14
318,113,7
319,113,8
320,113,1
321,113,6
322,114,16
323,114,8
324,114,10
325,115,10
326,115,16
327,116,13
328,116,6
329,116,3
330,117,2
331,117,0
332,117,1
333,117,7
334,117,14
335,118,13
336,118,6
337,119,16
338,120,0
339,120,1
340,120,8
341,121,1
342,121,0
343,121,14
344,122,7
345,122,3
346,122,2
347,122,0
348,123,10
349,123,6
350,123,9
351,124,16
352,125,4
353,125,6
354,126,0
355,126,6
356,126,9
357,127,5
358,128,11
359,129,2
360,129,1
361,129,3
362,130,3
363,130,14
364,131,1
365,131,8
366,132,13
367,132,6
368,133,3
369,133,7
370,133,8
371,133,13
372,135,7
373,135,2
374,135,8
375,135,11
376,135,3
377,135,1
378,136,10
379,136,16
380,137,4
381,137,6
382,137,12
383,137,16
384,138,14
385,138,0
386,138,1
387,139,3
388,139,4
389,140,10
390,140,16
391,140,12
392,141,8
393,141,0
394,141,1
395,142,2
396,142,0
397,142,1
398,142,4
399,142,3
400,143,10
401,144,10
402,145,6
403,145,3
404,146,0
405,146,1
406,147,13
407,147,3
408,148,14
409,148,0
410,148,16
411,149,1
412,149,12
413,149,3
414,149,2
415,149,7
416,150,8
417,150,1
418,151,2
419,151,8
420,152,2
421,152,14
422,152,1
423,152,7
424,153,0
425,153,16
426,153,4
427,154,6
428,154,13
429,155,2
430,155,3
431,155,8
432,155,1
433,155,7
434,156,6
435,156,16
436,156,17
437,157,12
438,157,16
439,157,6
440,158,0
441,158,4
442,158,3
443,158,1
444,159,0
445,159,2
446,159,8
447,160,0
448,160,14
449,160,8
450,161,1
451,161,8
452,161,12
453,162,3
454,163,5
455,164,0
456,164,1
457,164,8
458,164,14
459,165,0
460,166,2
461,166,3
462,167,16
463,168,10
464,168,16
465,169,0
466,169,1
467,169,8
468,170,2
469,171,8
470,171,1
471,171,0
472,172,0
473,172,4
474,172,16
475,173,2
476,173,14
477,173,1
478,174,0
479,174,1
480,174,16
481,175,16
482,175,6
483,176,10
484,177,1
485,177,8
486,178,10
487,179,13
488,179,6
489,180,13
490,180,6
491,181,3
492,182,6
493,182,0
494,183,3
495,183,11
496,183,6
497,184,0
498,184,4
499,185,16
500,186,2
501,186,3
502,186,1
503,186,7
504,187,10
505,187,12
506,188,10
507,188,12
508,188,16
509,189,14
510,190,6
511,190,11
512,191,2
513,191,0
514,191,3
515,192,0
516,192,8
517,192,1
518,193,7
519,193,3
520,193,8
521,194,2
522,194,6
523,194,12
524,194,8
525,194,7
526,195,2
527,195,0
528,195,8
529,196,10
530,196,16
531,197,0
532,197,16
533,198,12
534,198,6
535,198,10
536,199,16
537,199,4
538,200,3
539,201,3
540,202,14
541,202,3
542,202,0
543,203,2
544,203,1
545,203,7
546,203,8
547,204,4
548,204,3
549,204,9
550,204,12
551,204,16
552,205,14
553,205,0
554,205,1
555,206,16
556,206,10
557,207,3
558,207,7
559,208,2
560,208,1
561,208,7
562,208,3
563,209,2
564,209,3
565,209,7
566,209,8
567,210,5
568,211,0
569,211,3
570,211,1
571,212,3
572,213,0
573,213,3
574,213,4
575,213,16
576,214,16
577,214,15
578,214,0
579,215,10
580,215,12
581,215,14
582,215,16
583,216,2
584,216,7
585,216,3
586,216,8
587,217,2
588,217,3
589,217,7
590,218,6
591,218,9
592,218,17
593,219,2
594,219,0
595,219,8
596,219,14
597,220,0
598,220,8
599,220,10
600,220,3
601,221,13
602,221,6
603,222,10
604,222,12
605,222,16
606,223,7
607,223,1
608,223,11
609,223,2
610,224,0
611,224,14
612,224,1
613,225,2
614,225,7
615,225,1
616,225,8
617,225,3
618,226,16
619,226,10
620,226,3
621,226,15
622,227,2
623,227,6
624,227,12
625,227,8
626,228,2
627,228,7
628,228,3
629,228,14
630,229,2
631,229,7
632,229,3
633,229,14
634,230,13
635,230,6
636,231,7
637,231,1
638,231,3
639,231,8
640,232,1
641,232,14
642,232,3
643,233,2
644,233,7
645,233,3
646,233,8
647,233,1
648,234,0
649,234,13
650,234,2
