,movie_id,keyword_id
308,76,2
309,76,10
310,76,3
311,76,11
312,76,100
313,76,6
314,77,61
315,77,22
316,78,57
317,79,91
318,79,79
319,81,83
320,81,95
321,82,70
322,83,26
323,83,93
324,84,100
325,84,4
326,84,14
327,84,33
328,84,101
329,85,4
330,85,14
331,85,33
332,85,101
333,86,0
334,86,2
335,86,10
336,88,57
337,88,12
338,89,66
339,89,100
340,89,4
341,89,14
342,89,33
343,89,101
344,95,2
345,95,10
346,96,57
347,97,56
348,98,92
349,98,48
350,101,36
351,102,1
352,102,28
353,102,40
354,102,97
355,104,0
356,104,9
357,104,1
358,104,28
359,104,40
360,104,97
361,104,2
362,104,10
363,104,3
364,104,11
365,104,100
366,105,1
367,105,28
368,105,40
369,105,97
370,106,92
371,106,57
372,108,3
373,108,11
374,110,26
375,110,93
376,111,100
377,111,4
378,111,14
379,111,33
380,111,101
381,112,92
382,112,48
383,114,92
384,114,100
385,116,100
386,116,4
387,116,14
388,116,33
389,116,101
390,118,1
391,118,28
392,118,40
393,118,97
394,119,92
395,120,4
396,120,14
397,120,33
398,120,101
399,121,3
400,121,11
401,121,4
402,121,14
403,121,33
404,121,101
405,123,9
406,123,86
407,124,2
408,124,10
409,124,3
410,124,11
411,124,4
412,124,14
413,124,33
414,124,101
415,126,57
416,127,25
417,127,1
418,127,28
419,127,40
420,127,97
421,127,34
422,128,4
423,128,14
424,128,33
425,128,101
426,130,81
427,132,92
428,132,57
429,135,92
430,135,100
431,136,2
432,136,10
433,136,3
434,136,11
435,136,13
436,136,15
437,137,2
438,137,10
439,137,3
440,137,11
441,137,100
442,137,4
443,137,14
444,137,33
445,137,101
446,137,6
447,140,92
448,140,60
449,143,3
450,143,11
451,145,29
452,147,57
453,151,92
454,155,1
455,155,28
456,155,40
457,155,97
458,155,2
459,155,10
460,155,3
461,155,11
462,155,13
463,155,6
464,156,1
465,156,28
466,156,40
467,156,97
468,158,79
469,160,4
470,160,14
471,160,33
472,160,101
473,161,92
474,164,57
475,165,57
476,165,100
477,165,4
478,165,14
479,165,33
480,165,101
481,166,30
482,168,26
483,168,93
484,169,2
485,169,10
486,169,3
487,169,11
488,169,6
489,171,38
490,171,44
491,171,57
492,171,39
493,171,61
494,171,41
495,171,42
496,174,57
497,178,57
498,182,6
499,185,30
500,194,1
501,194,28
502,194,40
503,194,97
504,196,91
505,197,0
506,198,1
507,198,28
508,198,40
509,198,97
510,198,69
511,198,70
512,199,57
513,199,100
514,200,2
515,200,10
516,200,3
517,200,11
518,200,13
519,200,100
520,200,4
521,200,14
522,200,33
523,200,101
524,200,6
525,202,2
526,202,10
527,202,3
528,202,11
529,202,100
530,202,6
531,203,100
532,204,100
533,205,9
534,205,2
535,205,10
536,205,3
537,205,11
538,205,100
539,205,15
540,208,38
541,208,44
542,208,1
543,208,28
544,208,40
545,208,97
546,209,98
547,209,4
548,209,14
549,209,33
550,209,101
551,210,25
552,210,1
553,210,28
554,210,40
555,210,97
556,214,57
557,214,1
558,214,28
559,214,40
560,214,97
561,215,4
562,215,14
563,215,33
564,215,101
565,218,57
566,219,83
567,219,70
568,220,57
569,221,1
570,221,28
571,221,40
572,221,97
573,224,1
574,224,28
575,224,40
576,224,97
577,225,1
578,225,28
579,225,40
580,225,97
581,226,85
582,227,63
583,228,57
584,228,60
585,231,26
586,231,93
587,231,83
588,233,57
589,236,48
590,237,57
591,240,0
592,240,3
593,240,11
594,240,6
595,241,83
596,245,1
597,245,28
598,245,40
599,245,97
600,245,2
601,245,10
602,245,3
603,245,11
604,245,13
605,245,4
606,245,14
607,245,33
608,245,101
609,245,6
610,246,79
611,246,48
612,247,57
613,247,79
614,248,58
615,248,3
616,248,11
617,248,63
618,251,4
619,251,14
620,251,33
621,251,101
622,253,2
623,253,10
624,254,1
625,254,28
626,254,40
627,254,97
628,256,26
629,256,93
630,259,70
631,259,22
632,260,60
633,260,100
634,261,57
635,262,83
636,262,4
637,262,14
638,262,33
639,262,101
640,263,83
641,263,85
642,263,87
643,264,57
644,266,2
645,266,10
646,269,83
647,269,1
648,269,28
649,269,40
650,269,97
651,270,9
652,270,2
653,270,10
654,270,3
655,270,11
656,270,100
657,270,4
658,270,14
659,270,33
660,270,101
661,271,1
662,271,28
663,271,40
664,271,97
665,271,100
666,272,83
667,273,3
668,273,11
669,273,6
670,274,91
671,274,54
672,275,2
673,275,10
674,277,1
675,277,28
676,277,40
677,277,97
678,279,57
679,280,70
680,280,49
681,280,30
682,281,30
683,282,4
684,282,14
685,282,33
686,282,101
687,289,0
688,289,2
689,289,10
690,291,30
691,292,48
692,293,70
693,294,57
694,298,63
695,299,26
696,299,93
697,299,30
698,300,79
699,300,1
700,300,28
701,300,40
702,300,97
703,300,100
704,300,4
705,300,14
706,300,33
707,300,101
708,302,57
709,303,92
710,303,57
711,303,87
712,305,57
713,306,91
714,306,0
715,306,2
716,306,10
717,306,3
718,306,11
719,306,100
720,307,4
721,307,14
722,307,33
723,307,101
724,309,57
725,309,95
726,309,4
727,309,14
728,309,33
729,309,101
730,310,83
731,310,48
732,310,100
733,311,57
734,311,60
735,311,85
736,313,51
737,315,26
738,315,93
739,315,1
740,315,28
741,315,40
742,315,97
743,315,70
744,315,49
745,315,30
746,315,31
747,318,0
748,318,1
749,318,28
750,318,40
751,318,97
752,318,2
753,318,10
754,318,3
755,318,11
756,318,100
757,318,4
758,318,14
759,318,33
760,318,101
761,321,94
762,323,2
763,323,10
764,323,3
765,323,11
766,323,12
767,323,100
768,325,16
769,325,0
770,325,59
771,325,60
772,326,57
773,327,67
774,327,95
775,329,12
776,330,69
777,331,57
778,333,6
779,335,9
780,336,57
781,337,1
782,337,28
783,337,40
784,337,97
785,338,92
786,338,48
787,338,12
788,340,1
789,340,28
790,340,40
791,340,97
792,341,95
793,343,100
794,344,70
795,344,30
796,345,1
797,345,28
798,345,40
799,345,97
800,349,57
801,349,82
802,349,83
803,353,70
804,354,30
805,356,57
806,356,4
807,356,14
808,356,33
809,356,101
810,357,57
811,358,57
812,358,1
813,358,28
814,358,40
815,358,97
816,359,12
817,360,57
818,360,98
819,361,1
820,361,28
821,361,40
822,361,97
823,361,70
824,361,29
825,361,30
826,362,4
827,362,14
828,362,33
829,362,101
830,366,12
831,368,57
832,369,100
833,371,92
834,371,100
835,372,4
836,372,14
837,372,33
838,372,101
839,373,100
840,373,4
841,373,14
842,373,33
843,373,101
844,374,70
845,375,57
846,376,2
847,376,10
848,376,3
849,376,11
850,376,100
851,376,6
852,379,38
853,379,44
854,379,3
855,379,11
856,381,1
857,381,28
858,381,40
859,381,97
860,381,21
861,383,9
862,383,2
863,383,10
864,384,1
865,384,28
866,384,40
867,384,97
868,384,30
869,385,1
870,385,28
871,385,40
872,385,97
873,386,95
874,388,82
875,388,83
876,388,1
877,388,28
878,388,40
879,388,97
880,389,2
881,389,10
882,389,3
883,389,11
884,389,15
885,390,4
886,390,14
887,390,33
888,390,101
889,392,1
890,392,28
891,392,40
892,392,97
893,392,2
894,392,10
895,392,3
896,392,11
897,392,100
898,392,4
899,392,14
900,392,33
901,392,101
902,392,6
903,393,57
904,395,57
905,395,85
906,396,1
907,396,28
908,396,40
909,396,97
910,396,4
911,396,14
912,396,33
913,396,101
914,397,81
915,397,4
916,397,14
917,397,33
918,397,101
919,397,85
920,398,57
921,398,85
922,399,100
923,399,85
924,402,91
925,402,92
926,402,26
927,402,93
928,402,27
929,402,96
930,402,99
931,403,70
932,403,30
933,403,31
934,403,52
935,405,1
936,405,28
937,405,40
938,405,97
939,406,100
940,406,4
941,406,14
942,406,33
943,406,101
944,407,79
945,409,60
946,412,6
947,414,91
948,414,92
949,414,57
950,414,60
951,414,4
952,414,14
953,414,33
954,414,101
955,415,57
956,415,1
957,415,28
958,415,40
959,415,97
960,415,70
961,418,0
962,418,85
963,418,86
964,424,1
965,424,28
966,424,40
967,424,97
968,424,2
969,424,10
970,424,3
971,424,11
972,424,100
973,424,4
974,424,14
975,424,33
976,424,101
977,424,6
978,425,1
979,425,28
980,425,40
981,425,97
982,425,100
983,427,57
984,428,25
985,428,2
986,428,10
987,428,3
988,428,11
989,428,70
990,428,51
991,429,81
992,429,4
993,429,14
994,429,33
995,429,101
996,432,57
997,437,57
998,438,2
999,438,10
1000,438,3
1001,438,11
1002,438,100
1003,438,6
1004,439,2
1005,439,10
1006,439,3
1007,439,11
1008,439,4
1009,439,14
1010,439,33
1011,439,101
1012,440,95
1013,440,2
1014,440,10
1015,440,3
