,movie_id,genre_id
311,629542,80
312,629542,35
313,718789,16
314,718789,28
315,718789,12
316,718789,10751
317,718789,878
318,818397,28
319,818397,53
320,818397,80
321,1034541,27
322,1034541,14
323,1034541,53
324,921360,28
325,921360,80
326,921360,53
327,993145,28
328,993145,80
329,1015724,12
330,1015724,9648
331,1015724,35
332,1015724,16
333,1015724,10751
334,526896,28
335,526896,878
336,526896,14
337,1032950,27
338,919355,14
339,919355,12
340,919355,28
341,791373,28
342,791373,12
343,791373,14
344,791373,878
345,843241,16
346,843241,14
347,37707,27
348,37707,878
349,37707,53
350,335787,28
351,335787,12
352,511817,16
353,511817,35
354,511817,14
355,511817,12
356,781099,53
357,438695,16
358,438695,12
359,438695,35
360,773867,28
361,773867,80
362,773867,35
363,773867,12
364,532870,53
365,532870,27
366,1015602,16
367,1015602,35
368,43641,16
369,43641,28
370,43641,878
371,43641,14
372,799379,878
373,799379,28
374,799379,53
375,21208,27
376,21208,53
377,21208,9648
378,1025169,99
379,961484,28
380,961484,53
381,800939,10749
382,800939,35
383,829560,10749
384,829560,18
385,968857,53
386,566525,28
387,566525,12
388,566525,14
389,836225,27
390,337404,35
391,337404,80
392,459151,16
393,459151,35
394,459151,12
395,459151,10751
396,674,12
397,674,14
398,674,10751
399,864959,12
400,864959,35
401,864959,27
402,864959,10751
403,497582,28
404,497582,12
405,497582,9648
406,497582,35
407,497582,80
408,1008779,28
409,762504,27
410,762504,9648
411,762504,878
412,762504,53
413,975120,35
414,975120,10751
415,1007401,16
416,1007401,28
417,1007401,14
418,1006851,878
419,1006851,35
420,1006851,28
421,672,12
422,672,14
423,1022256,99
424,1022256,10402
425,1039627,16
426,767,12
427,767,14
428,1013860,14
429,1013860,28
430,1013860,35
431,1013860,80
432,951368,53
433,951368,10770
434,951368,28
435,406759,878
436,484907,9648
437,484907,18
438,484907,27
439,524434,878
440,524434,28
441,524434,12
442,820232,28
443,820232,16
444,820232,14
445,1006381,12
446,1006381,878
447,1006381,35
448,755566,28
449,755566,14
450,755566,27
451,755566,35
452,798544,16
453,798544,18
454,798544,9648
455,798544,14
456,671,12
457,671,14
458,324786,18
459,324786,36
460,324786,10752
461,597922,18
462,597922,35
463,597922,10752
464,602223,27
465,602223,28
466,602223,53
467,541134,18
468,541134,80
469,541134,9648
470,12445,14
471,12445,12
472,831410,53
473,831410,27
474,831410,35
475,831410,10770
476,1037858,16
477,1037858,35
478,1037858,10751
479,782054,16
480,782054,878
481,782054,12
482,460465,28
483,460465,14
484,460465,12
485,808,16
486,808,35
487,808,14
488,808,12
489,808,10751
490,838197,35
491,838197,28
492,347201,16
493,347201,28
494,347201,35
495,722800,18
496,722800,37
497,722800,53
498,774825,16
499,774825,35
500,774825,12
501,774825,10751
502,673,12
503,673,14
504,744275,10749
505,744275,18
506,796256,27
507,796256,9648
508,829557,10749
509,829557,18
510,961427,27
511,961427,14
512,961427,12
513,961427,10751
514,760104,27
515,760104,9648
516,760104,53
517,508943,16
518,508943,35
519,508943,10751
520,508943,14
521,597,18
522,597,10749
523,628900,28
524,628900,53
525,803114,53
526,803114,27
527,843633,28
528,843633,80
529,843633,53
530,759175,14
531,759175,28
